"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 31 13:27:32 GMT 2022","Sun Jul 31 13:27:37 GMT 2022","4697","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"skipped","Sun Jul 31 13:29:11 GMT 2022","Sun Jul 31 13:29:11 GMT 2022","102","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"passed","Sun Jul 31 13:27:24 GMT 2022","Sun Jul 31 13:27:32 GMT 2022","8658","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"broken","Sun Jul 31 13:28:28 GMT 2022","Sun Jul 31 13:28:38 GMT 2022","10186","","MultiTab - Display","","MultiTab - Display","Display_004 - Verify multi-tab display correctly if there is multiple sections","Display_004 - Verify multi-tab display correctly if there is multiple sections",""
"failed","Sun Jul 31 13:28:57 GMT 2022","Sun Jul 31 13:29:11 GMT 2022","13130","","MultiTab - Display","","MultiTab - Display","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab",""
"broken","Sun Jul 31 13:27:37 GMT 2022","Sun Jul 31 13:28:07 GMT 2022","30302","","MultiTab - Display","","MultiTab - Display","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1",""
"passed","Sun Jul 31 13:27:02 GMT 2022","Sun Jul 31 13:27:12 GMT 2022","9941","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"broken","Sun Jul 31 13:28:07 GMT 2022","Sun Jul 31 13:28:18 GMT 2022","10249","","MultiTab - Display","","MultiTab - Display","Display_002 - Verify default tab can be changed and display correctly","Display_002 - Verify default tab can be changed and display correctly",""
"broken","Sun Jul 31 13:28:18 GMT 2022","Sun Jul 31 13:28:28 GMT 2022","10229","","MultiTab - Display","","MultiTab - Display","Display_003 - Verify ""Remember last selected tab"" feature work correctly","Display_003 - Verify ""Remember last selected tab"" feature work correctly",""
"failed","Sun Jul 31 13:28:38 GMT 2022","Sun Jul 31 13:28:57 GMT 2022","19451","","MultiTab - Display","","MultiTab - Display","Display_005 - Verify multi-tab display correctly if there is new field added to any tab","Display_005 - Verify multi-tab display correctly if there is new field added to any tab",""
"passed","Sun Jul 31 13:27:12 GMT 2022","Sun Jul 31 13:27:24 GMT 2022","12051","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
